ecosystem,package,version,version_source,n_deposits
cran,RGISTools,1.0.2,renv_lock,1
cran,RItools,0.3-5,renv_lock,1
cran,RItools,0.1-12,description,1
cran,RJSONIO,1.3-1.6,renv_lock,2
cran,RMySQL,0.11.2,description,1
cran,RNetCDF,2.6-1,renv_lock,1
cran,RNetCDF,2.6-1,description,1
cran,ROCR,1.0-11,renv_lock,5
cran,ROCR,1.0-11,description,2
cran,ROI,1.0-1,renv_lock,1
cran,ROI.plugin.alabama,1.0-2,renv_lock,1
cran,ROSE,0.0-4,description,2
cran,ROSE,0.0-4,renv_lock,1
cran,RPostgreSQL,0.7-8,description,1
cran,RPostgres,1.4.8,renv_lock,1
cran,RSQLite,2.3.6,renv_lock,2
cran,RSQLite,2.4.5,renv_lock,2
cran,RSQLite,2.3.9,renv_lock,1
cran,RSQLite,2.3.1,renv_lock,1
cran,RSQLite,2.4.2,renv_lock,1
cran,RSelenium,1.7.9,renv_lock,4
cran,RSelenium,1.7.7,renv_lock,1
cran,RSiena,1.1-276,description,1
cran,RSpectra,0.16-2,renv_lock,1
cran,RSpectra,0.16-2,description,1
cran,RSpectra,0.16-0,renv_lock,1
cran,RStanTest,0.0.0.9000,description,1
cran,RStata,1.1.1,renv_lock,3
cran,RStata,1.1.1,description,3
cran,RUnit,0.4.33.1,description,2
cran,RUnit,0.4.32,description,1
cran,Rcampdf,0.0-1,description,1
cran,Rcpp,1.1.0,renv_lock,20
cran,Rcpp,1.0.14,renv_lock,19
cran,Rcpp,1.1.1,renv_lock,15
cran,Rcpp,1.0.12,renv_lock,13
cran,Rcpp,1.0.11,renv_lock,13
cran,Rcpp,1.0.13,renv_lock,12
cran,Rcpp,1.0.10,renv_lock,9
cran,Rcpp,1.0.7,renv_lock,7
cran,Rcpp,1.0.11,description,5
cran,Rcpp,1.0.9,renv_lock,5
cran,Rcpp,1.0.12,description,4
cran,Rcpp,1.0.9,description,4
cran,Rcpp,1.0.6,renv_lock,3
cran,Rcpp,1.0.14,description,3
cran,Rcpp,1.0.10,description,3
cran,Rcpp,0.12.16,description,2
cran,Rcpp,1.0.7,description,2
cran,Rcpp,1.1.1,description,2
cran,Rcpp,1.0.8.3,renv_lock,2
cran,Rcpp,1.0.5,renv_lock,2
cran,Rcpp,1.0.8,renv_lock,2
cran,Rcpp,1.1.0,description,2
cran,Rcpp,1.1.2,renv_lock,2
cran,Rcpp,0.12.7,install,1
cran,Rcpp,1.0.8.3,description,1
cran,Rcpp,1.0.5,description,1
cran,Rcpp,1.0.12,install,1
cran,Rcpp,1.0.11,install,1
cran,Rcpp,1.0.2,renv_lock,1
