package,language,ecosystem,n_deposits,n_files,n_mentions,first_year,last_year,n_deposits_at_risk,share_of_deposits
estout,stata,ssc,657,3847,114218,,,1075,0.6112
reghdfe,stata,ssc,375,2351,18742,,,1075,0.3488
outreg2,stata,ssc,263,1286,16600,,,1075,0.2447
coefplot,stata,ssc,223,591,2339,,,1075,0.2074
dplyr,r,cran,197,1427,7268,,,392,0.5026
pandas,python,pypi,185,1389,1486,,,224,0.8259
numpy,python,pypi,174,1717,1908,,,224,0.7768
ggplot2,r,cran,158,776,2322,,,392,0.4031
tidyverse,r,cran,131,894,906,,,392,0.3342
matplotlib,python,pypi,129,579,1078,,,224,0.5759
binscatter,stata,ssc,127,219,673,,,1075,0.1181
haven,r,cran,126,574,628,,,392,0.3214
ivreg2,stata,ssc,109,367,2566,,,1075,0.1014
data.table,r,cran,106,548,762,,,392,0.2704
readxl,r,cran,105,310,376,,,392,0.2679
ivreghdfe,stata,ssc,99,408,3120,,,1075,0.0921
scipy,python,pypi,98,494,853,,,224,0.4375
winsor2,stata,ssc,87,270,965,,,1075,0.0809
spmap,stata,ssc,87,110,256,,,1075,0.0809
tidyr,r,cran,87,326,525,,,392,0.2219
stringr,r,cran,83,259,683,,,392,0.2117
distinct,stata,ssc,81,253,1226,,,1075,0.0753
unique,stata,ssc,80,257,1524,,,1075,0.0744
scales,r,cran,68,208,390,,,392,0.1735
gtools,stata,ssc,67,604,3124,,,1075,0.0623
xtable,r,cran,66,329,339,,,392,0.1684
stargazer,r,cran,65,169,197,,,392,0.1658
foreign,r,cran,65,238,251,,,392,0.1658
grstyle,stata,ssc,63,247,2271,,,1075,0.0586
knitr,r,cran,62,773,1109,,,392,0.1582
lfe,r,cran,55,328,470,,,392,0.1403
sf,r,cran,55,356,1186,,,392,0.1403
statsmodels,python,pypi,54,161,264,,,224,0.2411
shp2dta,stata,ssc,54,67,118,,,1075,0.0502
fixest,r,cran,53,194,356,,,392,0.1352
lubridate,r,cran,53,297,427,,,392,0.1352
labutil,stata,ssc,49,79,171,,,1075,0.0456
parmest,stata,ssc,48,189,1330,,,1075,0.0447
readr,r,cran,48,173,262,,,392,0.1224
geodist,stata,ssc,48,83,138,,,1075,0.0447
winsor,stata,ssc,46,156,531,,,1075,0.0428
zoo,r,cran,45,142,261,,,392,0.1148
doParallel,r,cran,43,269,294,,,392,0.1097
sandwich,r,cran,42,127,232,,,392,0.1071
carryforward,stata,ssc,42,175,444,,,1075,0.0391
scikit-learn,python,pypi,42,170,345,,,224,0.1875
rdrobust,stata,ssc,41,209,1740,,,1075,0.0381
plyr,r,cran,41,246,373,,,392,0.1046
ppmlhdfe,stata,ssc,39,129,976,,,1075,0.0363
broom,r,cran,39,157,195,,,392,0.0995
reshape2,r,cran,38,169,227,,,392,0.0969
seaborn,python,pypi,38,136,143,,,224,0.1696
tibble,r,cran,37,318,642,,,392,0.0944
regsave,stata,ssc,37,152,498,,,1075,0.0344
gridExtra,r,cran,37,78,120,,,392,0.0944
RColorBrewer,r,cran,37,82,101,,,392,0.0944
purrr,r,cran,37,179,317,,,392,0.0944
foreach,r,cran,36,298,343,,,392,0.0918
MASS,r,cran,36,229,304,,,392,0.0918
rstudioapi,r,cran,36,190,368,,,392,0.0918
lmtest,r,cran,36,93,148,,,392,0.0918
boottest,stata,ssc,36,74,1377,,,1075,0.0335
outreg,stata,ssc,35,127,663,,,1075,0.0326
readstata13,r,cran,34,167,193,,,392,0.0867
latex2exp,r,cran,33,76,111,,,392,0.0842
Hmisc,r,cran,33,174,198,,,392,0.0842
Matrix,r,cran,33,265,596,,,392,0.0842
kableExtra,r,cran,31,61,231,,,392,0.0791
magrittr,r,cran,31,158,163,,,392,0.0791
devtools,r,cran,29,106,110,,,392,0.074
acreg,stata,ssc,28,112,883,,,1075,0.026
ftools,stata,ssc,28,152,492,,,1075,0.026
cowplot,r,cran,27,48,65,,,392,0.0689
remotes,r,cran,24,92,140,,,392,0.0612
glmnet,r,cran,23,100,141,,,392,0.0587
texsave,stata,ssc,23,109,141,,,1075,0.0214
ggpubr,r,cran,23,36,49,,,392,0.0587
ggrepel,r,cran,22,33,44,,,392,0.0561
rddensity,stata,ssc,22,30,102,,,1075,0.0205
here,r,cran,22,404,595,,,392,0.0561
raster,r,cran,22,78,516,,,392,0.0561
pracma,r,cran,22,147,240,,,392,0.0561
psacalc,stata,ssc,21,22,83,,,1075,0.0195
texdoc,stata,ssc,21,108,3052,,,1075,0.0195
plm,r,cran,21,142,880,,,392,0.0536
sp,r,cran,21,183,326,,,392,0.0536
pacman,r,cran,21,67,109,,,392,0.0536
stop,stata,ssc,20,39,64,,,1075,0.0186
balancetable,stata,ssc,20,22,61,,,1075,0.0186
numba,python,pypi,20,94,134,,,224,0.0893
grc1leg2,stata,ssc,20,60,183,,,1075,0.0186
mdesc,stata,ssc,20,93,186,,,1075,0.0186
stringi,r,cran,20,45,48,,,392,0.051
ggthemes,r,cran,19,47,70,,,392,0.0485
nltk,python,pypi,19,299,990,,,224,0.0848
openxlsx,r,cran,19,31,32,,,392,0.0485
modelsummary,r,cran,19,29,46,,,392,0.0485
viridis,r,cran,19,40,54,,,392,0.0485
rlang,r,cran,19,230,796,,,392,0.0485
tqdm,python,pypi,18,50,52,,,224,0.0804
tabout,stata,ssc,18,44,181,,,1075,0.0167
xtivreg2,stata,ssc,18,45,148,,,1075,0.0167
geopandas,python,pypi,18,62,65,,,224,0.0804
car,r,cran,18,46,134,,,392,0.0459
mat2txt,stata,ssc,18,34,88,,,1075,0.0167
extrafont,r,cran,18,55,61,,,392,0.0459
caret,r,cran,17,54,89,,,392,0.0434
event_plot,stata,ssc,17,36,100,,,1075,0.0158
heatplot,stata,ssc,17,22,66,,,1075,0.0158
estimatr,r,cran,17,53,86,,,392,0.0434
ritest,stata,ssc,17,52,349,,,1075,0.0158
psmatch2,stata,ssc,17,21,91,,,1075,0.0158
pdslasso,stata,ssc,17,60,367,,,1075,0.0158
listtab,stata,ssc,16,35,117,,,1075,0.0149
randomForest,r,cran,16,40,88,,,392,0.0408
mmerge,stata,ssc,16,111,425,,,1075,0.0149
geosphere,r,cran,16,16,18,,,392,0.0408
outtable,stata,ssc,16,40,67,,,1075,0.0149
asdoc,stata,ssc,16,21,137,,,1075,0.0149
rgeos,r,cran_archive,16,85,193,,,392,0.0408
maptile,stata,ssc,16,30,96,,,1075,0.0149
did_imputation,stata,ssc,16,34,156,,,1075,0.0149
gdata,r,cran,15,56,59,,,392,0.0383
R.matlab,r,cran,15,55,56,,,392,0.0383
sutex,stata,ssc,15,32,74,,,1075,0.014
jsonlite,r,cran,15,33,68,,,392,0.0383
maps,r,cran,15,33,35,,,392,0.0383
fastDummies,r,cran,15,41,62,,,392,0.0383
glue,r,cran,15,92,196,,,392,0.0383
mvtnorm,r,cran,15,79,97,,,392,0.0383
cibar,stata,ssc,15,27,151,,,1075,0.014
listtex,stata,ssc,15,62,234,,,1075,0.014
Rcpp,r,cran,15,126,202,,,392,0.0383
forcats,r,cran,15,26,38,,,392,0.0383
ereplace,stata,ssc,14,33,150,,,1075,0.013
AER,r,cran,14,64,123,,,392,0.0357
lattice,r,cran,14,150,229,,,392,0.0357
requests,python,pypi,14,32,33,,,224,0.0625
writexl,r,cran,14,26,28,,,392,0.0357
numDeriv,r,cran,14,82,106,,,392,0.0357
cdfplot,stata,ssc,14,19,54,,,1075,0.013
ietoolkit,stata,ssc,14,27,64,,,1075,0.013
rangestat,stata,ssc,13,26,206,,,1075,0.0121
matrixStats,r,cran,13,64,97,,,392,0.0332
texreg,r,cran,13,36,42,,,392,0.0332
patchwork,r,cran,13,36,37,,,392,0.0332
gtools,r,cran,13,64,65,,,392,0.0332
igraph,r,cran,13,43,74,,,392,0.0332
rmarkdown,r,cran,13,22,42,,,392,0.0332
geonear,stata,ssc,13,27,33,,,1075,0.0121
geoinpoly,stata,ssc,13,40,102,,,1075,0.0121
httr,r,cran,13,41,59,,,392,0.0332
boot,r,cran,13,32,45,,,392,0.0332
weakivtest,stata,ssc,13,18,177,,,1075,0.0121
nloptr,r,cran,13,47,57,,,392,0.0332
missings,stata,ssc,13,27,43,,,1075,0.0121
eventstudyinteract,stata,ssc,13,23,67,,,1075,0.0121
center,stata,ssc,12,33,78,,,1075,0.0112
csdid,stata,ssc,12,20,175,,,1075,0.0112
tictoc,r,cran,12,28,40,,,392,0.0306
leebounds,stata,ssc,12,17,105,,,1075,0.0112
addplot,stata,ssc,12,21,72,,,1075,0.0112
palettes,stata,ssc,12,29,56,,,1075,0.0112
testthat,r,cran,12,192,228,,,392,0.0306
wyoung,stata,ssc,12,17,45,,,1075,0.0112
distplot,stata,ssc,12,14,40,,,1075,0.0112
did_multiplegt,stata,ssc,12,21,55,,,1075,0.0112
janitor,r,cran,11,18,19,,,392,0.0281
DescTools,r,cran,11,33,34,,,392,0.0281
rio,r,cran,11,26,28,,,392,0.0281
lme4,r,cran,11,156,287,,,392,0.0281
multiwayvcov,r,cran,11,28,45,,,392,0.0281
rgdal,r,cran_archive,11,98,198,,,392,0.0281
rwolf,stata,ssc,11,20,33,,,1075,0.0102
RSQLite,r,cran,11,28,40,,,392,0.0281
ipython,python,pypi,11,25,26,,,224,0.0491
keeporder,stata,ssc,11,52,92,,,1075,0.0102
stripplot,stata,ssc,10,10,46,,,1075,0.0093
grf,r,cran,10,98,121,,,392,0.0255
networkx,python,pypi,10,34,53,,,224,0.0446
matchit,stata,ssc,10,19,45,,,1075,0.0093
kountry,stata,ssc,10,22,47,,,1075,0.0093
quantreg,r,cran,10,75,107,,,392,0.0255
reclink,stata,ssc,10,27,99,,,1075,0.0093
dataout,stata,ssc,10,23,52,,,1075,0.0093
qqvalue,stata,ssc,10,16,60,,,1075,0.0093
maptools,r,cran_archive,10,47,79,,,392,0.0255
joblib,python,pypi,10,63,69,,,224,0.0446
psych,r,cran,10,24,29,,,392,0.0255
rscript,stata,ssc,10,15,62,,,1075,0.0093
gtable,r,cran,10,31,350,,,392,0.0255
nleqslv,r,cran,10,23,32,,,392,0.0255
xtscc,stata,ssc,10,34,85,,,1075,0.0093
ssaggregate,stata,ssc,9,31,58,,,1075,0.0084
doRNG,r,cran,9,20,23,,,392,0.023
xtabond2,stata,ssc,9,26,130,,,1075,0.0084
Shapely,python,pypi,9,15,24,,,224,0.0402
spacy,python,pypi,9,13,17,,,224,0.0402
tikzDevice,r,cran,9,23,46,,,392,0.023
ggmap,r,cran,9,18,22,,,392,0.023
nnet,r,cran,9,53,61,,,392,0.023
sutex2,stata,ssc,9,17,28,,,1075,0.0084
ebalance,stata,ssc,9,11,33,,,1075,0.0084
reshape,r,cran,9,33,37,,,392,0.023
doMC,r,cran,9,17,18,,,392,0.023
gensim,python,pypi,9,42,102,,,224,0.0402
nnls,stata,ssc,9,43,76,,,1075,0.0084
PyYAML,python,pypi,9,40,40,,,224,0.0402
openpyxl,python,pypi,8,16,20,,,224,0.0357
cmogram,stata,ssc,8,21,63,,,1075,0.0074
fs,stata,ssc,8,12,31,,,1075,0.0074
wordcloud,python,pypi,8,10,10,,,224,0.0357
terra,r,cran,8,17,35,,,392,0.0204
arrow,r,cran,8,20,25,,,392,0.0204
torch,python,pypi,8,20,51,,,224,0.0357
sxpose,stata,ssc,8,10,75,,,1075,0.0074
rwolf2,stata,ssc,8,16,26,,,1075,0.0074
e1071,r,cran,8,16,20,,,392,0.0204
usethis,r,cran,8,75,128,,,392,0.0204
cli,r,cran,8,283,893,,,392,0.0204
bit64,r,cran,8,33,103,,,392,0.0204
tmap,r,cran,8,12,21,,,392,0.0204
chron,r,cran,8,14,35,,,392,0.0204
tabstatmat,stata,ssc,8,17,120,,,1075,0.0074
spatstat,r,cran,8,17,59,,,392,0.0204
twowayfeweights,stata,ssc,8,8,26,,,1075,0.0074
weakiv,stata,ssc,8,12,61,,,1075,0.0074
randtoolbox,r,cran,8,38,52,,,392,0.0204
mipolate,stata,ssc,8,10,31,,,1075,0.0074
honestdid,stata,ssc,8,9,39,,,1075,0.0074
CVXR,r,cran,7,55,257,,,392,0.0179
asgen,stata,ssc,7,12,38,,,1075,0.0065
rprojroot,r,cran,7,22,49,,,392,0.0179
digest,r,cran,7,20,29,,,392,0.0179
colorspace,r,cran,7,32,51,,,392,0.0179
python-dateutil,python,pypi,7,40,40,,,224,0.0312
lassopack,stata,ssc,7,8,16,,,1075,0.0065
units,r,cran,7,43,96,,,392,0.0179
rdrobust,r,cran,7,20,24,,,392,0.0179
ineqdec0,stata,ssc,7,10,27,,,1075,0.0065
quadprog,r,cran,7,17,20,,,392,0.0179
utils,python,pypi,7,45,55,,,224,0.0312
rjson,r,cran,7,14,14,,,392,0.0179
patsy,python,pypi,7,36,54,,,224,0.0312
logout,stata,ssc,7,13,59,,,1075,0.0065
splitvallabels,stata,ssc,7,16,33,,,1075,0.0065
abind,r,cran,7,19,19,,,392,0.0179
renv,r,cran,7,9,27,,,392,0.0179
htmlwidgets,r,cran,7,16,35,,,392,0.0179
withr,r,cran,7,140,448,,,392,0.0179
mgcv,r,cran,7,21,37,,,392,0.0179
rsample,r,cran,7,9,11,,,392,0.0179
tidyselect,r,cran,7,57,114,,,392,0.0179
ROCR,r,cran,7,18,30,,,392,0.0179
DBI,r,cran,7,30,288,,,392,0.0179
lincomest,stata,ssc,7,18,202,,,1075,0.0065
XML,r,cran,7,8,8,,,392,0.0179
tseries,r,cran,7,20,27,,,392,0.0179
pscl,r,cran,7,16,27,,,392,0.0179
ivreg,r,cran,7,13,13,,,392,0.0179
qreg2,stata,ssc,7,9,17,,,1075,0.0065
spdep,r,cran,7,22,53,,,392,0.0179
rsource,stata,ssc,7,11,38,,,1075,0.0065
bacondecomp,stata,ssc,7,9,9,,,1075,0.0065
tidytext,r,cran,7,13,13,,,392,0.0179
countrycode,r,cran,7,16,18,,,392,0.0179
Formula,r,cran,6,15,26,,,392,0.0153
statar,r,cran,6,19,30,,,392,0.0153
mlogit,r,cran,6,18,19,,,392,0.0153
cem,stata,ssc,6,10,15,,,1075,0.0056
classInt,r,cran,6,11,13,,,392,0.0153
RCurl,r,cran,6,12,12,,,392,0.0153
config,python,pypi,6,30,34,,,224,0.0268
latab,stata,ssc,6,6,23,,,1075,0.0056
functions,python,pypi,6,38,38,,,224,0.0268
mylabels,stata,ssc,6,9,30,,,1075,0.0056
tm,r,cran,6,26,45,,,392,0.0153
htmltools,r,cran,6,15,24,,,392,0.0153
survival,r,cran,6,174,227,,,392,0.0153
rpart,r,cran,6,25,27,,,392,0.0153
crayon,r,cran,6,28,63,,,392,0.0153
microbenchmark,r,cran,6,22,56,,,392,0.0153
mapview,r,cran,6,18,26,,,392,0.0153
mapproj,r,cran,6,14,14,,,392,0.0153
KernSmooth,r,cran,6,20,29,,,392,0.0153
require,stata,ssc,6,6,23,,,1075,0.0056
sdid,stata,ssc,6,8,44,,,1075,0.0056
did_multiplegt_dyn,stata,ssc,6,10,43,,,1075,0.0056
eclplot,stata,ssc,6,14,80,,,1075,0.0056
fastxtile,stata,ssc,6,29,48,,,1075,0.0056
xsvmat,stata,ssc,6,12,20,,,1075,0.0056
sympy,python,pypi,6,10,41,,,224,0.0268
truncnorm,r,cran,6,16,16,,,392,0.0153
ranger,r,cran,6,13,15,,,392,0.0153
Cairo,r,cran,5,9,10,,,392,0.0128
plotrix,r,cran,5,22,22,,,392,0.0128
statastates,stata,ssc,5,17,26,,,1075,0.0047
plotly,python,pypi,5,7,13,,,224,0.0223
astile,stata,ssc,5,6,11,,,1075,0.0047
rasterio,python,pypi,5,21,51,,,224,0.0223
optimx,r,cran,5,13,19,,,392,0.0128
expm,r,cran,5,29,36,,,392,0.0128
catplot,stata,ssc,5,5,15,,,1075,0.0047
pyarrow,python,pypi,5,21,29,,,224,0.0223
rnaturalearth,r,cran,5,16,17,,,392,0.0128
fre,stata,ssc,5,13,44,,,1075,0.0047
labelled,r,cran,5,16,17,,,392,0.0128
vtable,r,cran,5,19,23,,,392,0.0128
sentence-transformers,python,pypi,5,19,21,,,224,0.0223
hrbrthemes,r,cran,5,8,8,,,392,0.0128
groundhog,r,cran,5,11,11,,,392,0.0128
tabulate,python,pypi,5,10,10,,,224,0.0223
ncdf4,r,cran,5,23,123,,,392,0.0128
reg2hdfe,stata,ssc,5,5,27,,,1075,0.0047
rootSolve,r,cran,5,15,15,,,392,0.0128
nlme,r,cran,5,68,118,,,392,0.0128
strucchange,r,cran,5,15,30,,,392,0.0128
progressr,r,cran,5,5,5,,,392,0.0128
future,r,cran,5,11,14,,,392,0.0128
geepack,r,cran,5,11,21,,,392,0.0128
ordinal,r,cran,5,30,32,,,392,0.0128
RUnit,r,cran,5,24,36,,,392,0.0128
vctrs,r,cran,5,120,354,,,392,0.0128
hms,r,cran,5,12,22,,,392,0.0128
blob,r,cran,5,9,9,,,392,0.0128
pillar,r,cran,5,48,147,,,392,0.0128
munsell,r,cran,5,11,11,,,392,0.0128
xml2,r,cran,5,10,32,,,392,0.0128
svglite,r,cran,5,7,7,,,392,0.0128
multcomp,r,cran,5,22,40,,,392,0.0128
shiny,r,cran,5,83,92,,,392,0.0128
fs,r,cran,5,10,47,,,392,0.0128
plotly,r,cran,5,8,8,,,392,0.0128
cluster,r,cran,5,25,36,,,392,0.0128
jax,python,pypi,5,44,112,,,224,0.0223
RPostgres,r,cran,5,15,23,,,392,0.0128
webshot,r,cran,5,8,11,,,392,0.0128
filelist,stata,ssc,5,10,13,,,1075,0.0047
mice,r,cran,5,9,13,,,392,0.0128
hdm,r,cran,5,27,29,,,392,0.0128
jarowinkler,stata,ssc,5,7,92,,,1075,0.0047
rmapshaper,r,cran,5,22,26,,,392,0.0128
splines2,r,cran,5,20,21,,,392,0.0128
inequal7,stata,ssc,5,9,15,,,1075,0.0047
orth_out,stata,ssc,5,10,27,,,1075,0.0047
swindex,stata,ssc,5,9,38,,,1075,0.0047
iterators,r,cran,5,12,14,,,392,0.0128
vincenty,stata,ssc,5,9,14,,,1075,0.0047
moments,r,cran,5,6,10,,,392,0.0128
ztree2stata,stata,ssc,5,6,146,,,1075,0.0047
icw_index,stata,ssc,5,14,77,,,1075,0.0047
synth,stata,ssc,5,9,48,,,1075,0.0047
ggpattern,r,cran,5,14,14,,,392,0.0128
mtefe,stata,ssc,4,5,23,,,1075,0.0037
Rglpk,r,cran,4,27,49,,,392,0.0102
network,r,cran,4,7,7,,,392,0.0102
doFuture,r,cran,4,21,21,,,392,0.0102
ggh4x,r,cran,4,4,4,,,392,0.0102
marginaleffects,r,cran,4,7,7,,,392,0.0102
evd,r,cran,4,7,10,,,392,0.0102
spData,r,cran,4,15,38,,,392,0.0102
MatchIt,r,cran,4,10,10,,,392,0.0102
lavaan,r,cran,4,5,14,,,392,0.0102
gt,r,cran,4,7,19,,,392,0.0102
polynom,r,cran,4,15,18,,,392,0.0102
Rfast,r,cran,4,13,13,,,392,0.0102
personage,stata,ssc,4,14,38,,,1075,0.0037
vioplot,stata,ssc,4,4,18,,,1075,0.0037
did_multiplegt_old,stata,ssc,4,18,75,,,1075,0.0037
hprescott,stata,ssc,4,7,15,,,1075,0.0037
gplots,r,cran,4,9,15,,,392,0.0102
pytest,python,pypi,4,7,7,,,224,0.0179
osqp,r,cran,4,11,15,,,392,0.0102
pryr,r,cran_archive,4,9,11,,,392,0.0102
util,python,pypi,4,34,42,,,224,0.0179
tensorflow,python,pypi,4,84,96,,,224,0.0179
shufflevar,stata,ssc,4,5,9,,,1075,0.0037
policytree,r,cran,4,23,61,,,392,0.0102
mlbench,r,cran,4,13,21,,,392,0.0102
Lahman,r,cran,4,4,12,,,392,0.0102
nycflights13,r,cran,4,4,8,,,392,0.0102
gam,r,cran,4,7,9,,,392,0.0102
akima,r,cran,4,5,8,,,392,0.0102
formattable,r,cran,4,13,21,,,392,0.0102
prettyunits,r,cran,4,4,4,,,392,0.0102
parsedate,r,cran,4,4,4,,,392,0.0102
docopt,r,cran,4,4,4,,,392,0.0102
DiagrammeR,r,cran,4,14,22,,,392,0.0102
tidymodels,r,cran,4,4,4,,,392,0.0102
repurrrsive,r,cran,4,5,29,,,392,0.0102
timeDate,r,cran,4,14,23,,,392,0.0102
dbplyr,r,cran,4,7,12,,,392,0.0102
fields,r,cran,4,26,31,,,392,0.0102
rgl,r,cran,4,13,105,,,392,0.0102
profvis,r,cran,4,6,6,,,392,0.0102
R.utils,r,cran,4,6,8,,,392,0.0102
collapse,r,cran,4,43,69,,,392,0.0102
GPArotation,r,cran,4,18,70,,,392,0.0102
pcse,r,cran,4,10,45,,,392,0.0102
EnvStats,r,cran,4,70,70,,,392,0.0102
sppack,stata,ssc,4,5,13,,,1075,0.0037
sfsmisc,r,cran,4,17,26,,,392,0.0102
SparseM,r,cran,4,8,25,,,392,0.0102
this.path,r,cran,4,44,81,,,392,0.0102
xlsx,r,cran,4,15,15,,,392,0.0102
fsum,stata,ssc,4,11,24,,,1075,0.0037
moransi,stata,ssc,4,4,18,,,1075,0.0037
geo2xy,stata,ssc,4,4,9,,,1075,0.0037
corrplot,r,cran,4,8,16,,,392,0.0102
np,r,cran,4,11,11,,,392,0.0102
ipumsr,r,cran,4,6,7,,,392,0.0102
Pillow,python,pypi,4,4,5,,,224,0.0179
furrr,r,cran,4,11,17,,,392,0.0102
gurobipy,python,pypi,4,6,9,,,224,0.0179
urca,r,cran,4,9,15,,,392,0.0102
otree,python,pypi,4,45,55,,,224,0.0179
mfx,r,cran,4,6,6,,,392,0.0102
fredr,r,cran,4,4,4,,,392,0.0102
mixlogit,stata,ssc,4,4,10,,,1075,0.0037
mhtreg,stata,ssc,4,5,26,,,1075,0.0037
a2reg,stata,ssc,4,5,9,,,1075,0.0037
clubSandwich,r,cran,4,19,45,,,392,0.0102
latticeExtra,r,cran,4,8,8,,,392,0.0102
magick,r,cran,4,13,14,,,392,0.0102
feather,r,cran,4,19,43,,,392,0.0102
systemfit,r,cran,4,10,13,,,392,0.0102
leaflet,r,cran,4,18,69,,,392,0.0102
png,r,cran,4,7,23,,,392,0.0102
fuzzywuzzy,python,pypi,4,9,11,,,224,0.0179
ihstrans,stata,ssc,4,7,65,,,1075,0.0037
psidtools,stata,ssc,4,12,31,,,1075,0.0037
bbmle,r,cran,4,8,10,,,392,0.0102
callr,r,cran,4,15,30,,,392,0.0102
wordcloud,r,cran,4,4,4,,,392,0.0102
xlincom,stata,ssc,4,13,52,,,1075,0.0037
tsegen,stata,ssc,4,7,17,,,1075,0.0037
rddensity,r,cran,4,9,9,,,392,0.0102
dask,python,pypi,4,4,6,,,224,0.0179
fuzzyjoin,r,cran,4,4,4,,,392,0.0102
progress,r,cran,4,4,4,,,392,0.0102
prodest,stata,ssc,4,5,5,,,1075,0.0037
cltest,stata,ssc,4,8,22,,,1075,0.0037
geopy,python,pypi,3,7,7,,,224,0.0134
swifter,python,pypi,3,4,4,,,224,0.0134
byhist,stata,ssc,3,4,6,,,1075,0.0028
statnet,r,cran,3,9,9,,,392,0.0077
ergm,r,cran,3,7,9,,,392,0.0077
todummy,stata,ssc,3,3,16,,,1075,0.0028
bife,r,cran,3,3,4,,,392,0.0077
minpack.lm,r,cran,3,4,4,,,392,0.0077
snow,r,cran,3,19,37,,,392,0.0077
ECOSolveR,r,cran,3,11,19,,,392,0.0077
Unidecode,python,pypi,3,8,9,,,224,0.0134
gbm,r,cran,3,3,4,,,392,0.0077
pwr,r,cran,3,3,3,,,392,0.0077
utilities,python,pypi,3,11,11,,,224,0.0134
findname,stata,ssc,3,3,4,,,1075,0.0028
pytz,python,pypi,3,6,6,,,224,0.0134
GA,r,cran,3,5,5,,,392,0.0077
geobr,r,cran,3,4,5,,,392,0.0077
effects,r,cran,3,8,20,,,392,0.0077
ggsignif,r,cran,3,5,5,,,392,0.0077
rpy2,python,pypi,3,3,8,,,224,0.0134
showtext,r,cran,3,5,5,,,392,0.0077
tigris,r,cran,3,4,4,,,392,0.0077
quantmod,r,cran,3,6,6,,,392,0.0077
sqldf,r,cran,3,3,3,,,392,0.0077
twostepweakiv,stata,ssc,3,5,53,,,1075,0.0028
oaxaca,stata,ssc,3,5,9,,,1075,0.0028
asreg,stata,ssc,3,7,33,,,1075,0.0028
rstan,r,cran,3,9,171,,,392,0.0077
metafor,r,cran,3,6,26,,,392,0.0077
slam,r,cran,3,6,9,,,392,0.0077
exactextractr,r,cran,3,5,6,,,392,0.0077
openai,python,pypi,3,16,16,,,224,0.0134
beautifulsoup4,python,pypi,3,4,4,,,224,0.0134
erepost,stata,ssc,3,3,15,,,1075,0.0028
cmp,stata,ssc,3,9,43,,,1075,0.0028
weights,r,cran,3,4,4,,,392,0.0077
conflicted,r,cran,3,4,7,,,392,0.0077
BB,r,cran,3,5,9,,,392,0.0077
memisc,r,cran,3,4,4,,,392,0.0077
rbenchmark,r,cran,3,4,4,,,392,0.0077
desc,r,cran,3,4,8,,,392,0.0077
modeldata,r,cran,3,31,37,,,392,0.0077
recipes,r,cran,3,33,45,,,392,0.0077
mda,r,cran,3,9,11,,,392,0.0077
bootstrap,r,cran,3,3,3,,,392,0.0077
codetools,r,cran,3,5,9,,,392,0.0077
curl,r,cran,3,12,39,,,392,0.0077
tinytest,r,cran,3,19,34,,,392,0.0077
lobstr,r,cran,3,6,14,,,392,0.0077
pROC,r,cran,3,7,13,,,392,0.0077
akdensity,stata,ssc,3,7,141,,,1075,0.0028
pandas-datareader,python,pypi,3,6,6,,,224,0.0134
robustbase,r,cran,3,5,6,,,392,0.0077
hexbin,r,cran,3,6,9,,,392,0.0077
RcppEigen,r,cran,3,12,18,,,392,0.0077
inline,r,cran,3,3,3,,,392,0.0077
maxLik,r,cran,3,35,42,,,392,0.0077
ape,r,cran,3,9,12,,,392,0.0077
itertools,r,cran,3,12,13,,,392,0.0077
RPostgreSQL,r,cran,3,6,6,,,392,0.0077
dichromat,r,cran,3,5,8,,,392,0.0077
rasterVis,r,cran,3,5,8,,,392,0.0077
rvest,r,cran,3,3,3,,,392,0.0077
lifecycle,r,cran,3,101,379,,,392,0.0077
DT,r,cran,3,4,6,,,392,0.0077
zeallot,r,cran,3,10,10,,,392,0.0077
xts,r,cran,3,21,87,,,392,0.0077
timeSeries,r,cran,3,5,12,,,392,0.0077
scatterplot3d,r,cran,3,5,5,,,392,0.0077
gstat,r,cran,3,59,71,,,392,0.0077
xgboost,python,pypi,3,5,6,,,224,0.0134
graph,r,bioconductor,3,6,46,,,392,0.0077
Rgraphviz,r,bioconductor,3,8,12,,,392,0.0077
sumup,stata,ssc,3,7,12,,,1075,0.0028
Rmisc,r,cran,3,4,4,,,392,0.0077
gsample,stata,ssc,3,3,8,,,1075,0.0028
nngeo,r,cran,3,4,5,,,392,0.0077
nbformat,python,pypi,3,4,4,,,224,0.0134
Rmosek,r,cran,3,14,19,,,392,0.0077
MatrixModels,r,cran,3,7,15,,,392,0.0077
xlrd,python,pypi,3,4,7,,,224,0.0134
vars,r,cran,3,7,22,,,392,0.0077
gmm,r,cran,3,9,9,,,392,0.0077
parallel,stata,ssc,3,7,68,,,1075,0.0028
hdfe,stata,ssc,3,4,13,,,1075,0.0028
clrbound,stata,ssc,3,3,27,,,1075,0.0028
labsumm,stata,ssc,3,6,57,,,1075,0.0028
poi2hdfe,stata,ssc,3,15,80,,,1075,0.0028
NlcOptim,r,cran,3,6,7,,,392,0.0077
futile.logger,r,cran,3,16,43,,,392,0.0077
readtext,r,cran,3,4,4,,,392,0.0077
crossvalidate2,stata,ssc,3,9,10,,,1075,0.0028
kdens,stata,ssc,3,3,68,,,1075,0.0028
frameappend,stata,ssc,3,4,5,,,1075,0.0028
survey,r,cran,3,4,36,,,392,0.0077
pretrends,stata,ssc,3,5,26,,,1075,0.0028
spatialreg,r,cran,3,28,260,,,392,0.0077
