type,id,title,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType
dataset,4271475,,DVN/XJ2BDK,https://doi.org/10.7910/DVN/XJ2BDK,doi,10.7910,/,Harvard Dataverse,2020-12-21,s3://10.7910/DVN/XJ2BDK,dataset
dataset,4278980,,DVN/3DIDV7,https://doi.org/10.7910/DVN/3DIDV7,doi,10.7910,/,Harvard Dataverse,2020-12-29,s3://10.7910/DVN/3DIDV7,dataset
dataset,4285713,,DVN/0BLAWN,https://doi.org/10.7910/DVN/0BLAWN,doi,10.7910,/,Harvard Dataverse,2021-01-04,s3://10.7910/DVN/0BLAWN,dataset
dataset,4291531,,DVN/VQCGNW,https://doi.org/10.7910/DVN/VQCGNW,doi,10.7910,/,Harvard Dataverse,2021-01-09,s3://10.7910/DVN/VQCGNW,dataset
dataset,4298442,,DVN/ZRWAR0,https://doi.org/10.7910/DVN/ZRWAR0,doi,10.7910,/,Harvard Dataverse,2021-01-11,s3://10.7910/DVN/ZRWAR0,dataset
dataset,4298537,,DVN/XWLQ6P,https://doi.org/10.7910/DVN/XWLQ6P,doi,10.7910,/,Harvard Dataverse,2021-01-18,s3://10.7910/DVN/XWLQ6P,dataset
dataset,4302093,,DVN/ZEYLMH,https://doi.org/10.7910/DVN/ZEYLMH,doi,10.7910,/,Harvard Dataverse,2021-01-15,s3://10.7910/DVN/ZEYLMH,dataset
dataset,4305122,,DVN/8GWO7H,https://doi.org/10.7910/DVN/8GWO7H,doi,10.7910,/,Harvard Dataverse,2021-01-22,s3://10.7910/DVN/8GWO7H,dataset
dataset,4306079,,DVN/GJIIU3,https://doi.org/10.7910/DVN/GJIIU3,doi,10.7910,/,Harvard Dataverse,2021-01-20,s3://10.7910/DVN/GJIIU3,dataset
dataset,4308283,,DVN/8KQHYP,https://doi.org/10.7910/DVN/8KQHYP,doi,10.7910,/,Harvard Dataverse,2021-01-22,s3://10.7910/DVN/8KQHYP,dataset
dataset,4309128,,DVN/UIF9BL,https://doi.org/10.7910/DVN/UIF9BL,doi,10.7910,/,Harvard Dataverse,2021-01-22,s3://10.7910/DVN/UIF9BL,dataset
dataset,4326389,,DVN/ZNBYLT,https://doi.org/10.7910/DVN/ZNBYLT,doi,10.7910,/,Harvard Dataverse,2021-01-25,s3://10.7910/DVN/ZNBYLT,dataset
dataset,4329406,,DVN/J8TLGX,https://doi.org/10.7910/DVN/J8TLGX,doi,10.7910,/,Harvard Dataverse,2021-01-26,s3://10.7910/DVN/J8TLGX,dataset
dataset,4330789,,DVN/J62BZM,https://doi.org/10.7910/DVN/J62BZM,doi,10.7910,/,Harvard Dataverse,2021-01-28,s3://10.7910/DVN/J62BZM,dataset
dataset,4377802,,DVN/K8J8GU,https://doi.org/10.7910/DVN/K8J8GU,doi,10.7910,/,Harvard Dataverse,2021-02-11,s3://10.7910/DVN/K8J8GU,dataset
dataset,4378692,,DVN/ONMBPF,https://doi.org/10.7910/DVN/ONMBPF,doi,10.7910,/,Harvard Dataverse,2021-02-12,s3://10.7910/DVN/ONMBPF,dataset
dataset,4411250,,DVN/YCOSD2,https://doi.org/10.7910/DVN/YCOSD2,doi,10.7910,/,Harvard Dataverse,2021-02-17,s3://10.7910/DVN/YCOSD2,dataset
dataset,4443553,,DVN/DYHANZ,https://doi.org/10.7910/DVN/DYHANZ,doi,10.7910,/,Harvard Dataverse,2021-03-16,s3://10.7910/DVN/DYHANZ,dataset
dataset,4458526,,DVN/RTUBVV,https://doi.org/10.7910/DVN/RTUBVV,doi,10.7910,/,Harvard Dataverse,2021-03-15,s3://10.7910/DVN/RTUBVV,dataset
