collection_id,source,dataset_id,persistent_id,protocol,authority,identifier,publication_date
restat,dataverse,,https://doi.org/10.7910/DVN/DX6YLE,doi,10.7910,DVN/DX6YLE,2018-01-24
restat,dataverse,,https://doi.org/10.7910/DVN/FFPAXW,doi,10.7910,DVN/FFPAXW,2017-12-23
restat,dataverse,,https://doi.org/10.7910/DVN/OST8NQ,doi,10.7910,DVN/OST8NQ,2018-01-17
restat,dataverse,,https://doi.org/10.7910/DVN/Q99FI0,doi,10.7910,DVN/Q99FI0,2018-01-24
restat,dataverse,,https://doi.org/10.7910/DVN/ETS5LV,doi,10.7910,DVN/ETS5LV,2018-08-30
restat,dataverse,,https://doi.org/10.7910/DVN/W4B8MB,doi,10.7910,DVN/W4B8MB,2018-08-30
restat,dataverse,,https://doi.org/10.7910/DVN/8SPXEQ,doi,10.7910,DVN/8SPXEQ,2018-10-12
restat,dataverse,,https://doi.org/10.7910/DVN/082YQD,doi,10.7910,DVN/082YQD,2018-10-29
restat,dataverse,,https://doi.org/10.7910/DVN/RCZN4X,doi,10.7910,DVN/RCZN4X,2018-10-26
restat,dataverse,,https://doi.org/10.7910/DVN/ZQ5YCL,doi,10.7910,DVN/ZQ5YCL,2018-11-05
restat,dataverse,,https://doi.org/10.7910/DVN/CAASNH,doi,10.7910,DVN/CAASNH,2018-12-07
restat,dataverse,,https://doi.org/10.7910/DVN/FHXGDK,doi,10.7910,DVN/FHXGDK,2019-10-02
restat,dataverse,,https://doi.org/10.7910/DVN/S6QSGP,doi,10.7910,DVN/S6QSGP,2012-07-19
restat,dataverse,,https://doi.org/10.7910/DVN/28934,doi,10.7910,DVN/28934,2015-01-30
restat,dataverse,,https://doi.org/10.7910/DVN/TBXVB3,doi,10.7910,DVN/TBXVB3,2020-10-09
restat,dataverse,,https://doi.org/10.7910/DVN/PXAFCW,doi,10.7910,DVN/PXAFCW,2016-12-07
restat,dataverse,,https://doi.org/10.7910/DVN/RCWCPE,doi,10.7910,DVN/RCWCPE,2024-01-11
restat,dataverse,,https://doi.org/10.7910/DVN/1RRYTT,doi,10.7910,DVN/1RRYTT,2018-12-13
restat,dataverse,,https://doi.org/10.7910/DVN/N3TUEA,doi,10.7910,DVN/N3TUEA,2019-07-22
restat,dataverse,,https://doi.org/10.7910/DVN/EH3JBW,doi,10.7910,DVN/EH3JBW,2019-07-22
restat,dataverse,,https://doi.org/10.7910/DVN/PUXK8C,doi,10.7910,DVN/PUXK8C,2021-01-27
restat,dataverse,,https://doi.org/10.7910/DVN/DEDOUB,doi,10.7910,DVN/DEDOUB,2019-07-24
restat,dataverse,,https://doi.org/10.7910/DVN/CL6XJ9,doi,10.7910,DVN/CL6XJ9,2019-08-30
restat,dataverse,,https://doi.org/10.7910/DVN/DPMTHY,doi,10.7910,DVN/DPMTHY,2019-02-11
restat,dataverse,,https://doi.org/10.7910/DVN/QZY3JR,doi,10.7910,DVN/QZY3JR,2019-02-04
restat,dataverse,,https://doi.org/10.7910/DVN/EISFTL,doi,10.7910,DVN/EISFTL,2019-08-19
